                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.80718,                0.47212,                 1.0194,                 0.9118,                0.75454,                0.84919,                0.55069,                  1.204,                0.66459,                 1.3882,             0.00032473,             0.00032473,             0.00032473
                    124,                 0.7729,                0.45399,                  1.007,                0.87422,                0.77881,                0.85596,                0.55334,                 1.1877,                0.63625,                 1.3856,             0.00031373,             0.00031373,             0.00031373
                    125,                0.76908,                0.45271,                 1.0095,                0.84869,                0.79303,                0.85214,                 0.5516,                  1.187,                0.63187,                 1.3873,             0.00030273,             0.00030273,             0.00030273
                    126,                0.75637,                0.44516,                0.99721,                0.87982,                0.76752,                0.84958,                0.56272,                 1.1854,                 0.6468,                 1.3875,             0.00029172,             0.00029172,             0.00029172
                    127,                0.76455,                0.45407,                 1.0059,                0.85956,                0.77934,                0.84831,                0.56138,                 1.1791,                0.66039,                 1.3948,             0.00028072,             0.00028072,             0.00028072
                    128,                 0.7633,                0.45152,                 1.0038,                0.86269,                0.77964,                0.84904,                0.55706,                 1.1922,                  0.642,                 1.4169,             0.00026972,             0.00026972,             0.00026972
                    129,                0.75999,                0.45221,                 1.0008,                0.88217,                0.78036,                0.85242,                0.55704,                 1.2017,                0.64062,                 1.4149,             0.00025872,             0.00025872,             0.00025872
                    130,                0.75302,                0.43898,                 1.0002,                0.84467,                0.79656,                0.84548,                0.55762,                 1.1854,                0.64816,                 1.3772,             0.00024772,             0.00024772,             0.00024772
                    131,                0.73567,                0.43144,                0.99476,                0.90825,                0.73676,                0.83745,                0.55401,                 1.1811,                0.65212,                 1.3779,             0.00023671,             0.00023671,             0.00023671
                    132,                 0.7438,                0.43623,                0.99512,                0.91109,                0.73629,                 0.8455,                0.55859,                 1.1933,                0.66574,                 1.4083,             0.00022571,             0.00022571,             0.00022571
                    133,                0.74905,                0.43865,                0.98554,                0.86919,                0.77893,                0.84888,                0.55598,                 1.2015,                0.63999,                 1.4204,             0.00021471,             0.00021471,             0.00021471
                    134,                0.73907,                0.43264,                0.99741,                0.86299,                0.78055,                0.84469,                0.55738,                 1.1851,                0.62377,                 1.3992,             0.00020371,             0.00020371,             0.00020371
                    135,                0.74348,                0.43689,                0.99768,                0.91356,                0.74489,                0.84625,                0.55473,                 1.1921,                0.62574,                 1.4078,             0.00019271,             0.00019271,             0.00019271
                    136,                0.73896,                0.43391,                0.99204,                0.87739,                0.77024,                0.84982,                0.55696,                 1.1816,                0.64931,                 1.3904,              0.0001817,              0.0001817,              0.0001817
                    137,                0.73466,                0.42326,                0.99191,                  0.864,                0.78041,                0.84503,                0.55905,                 1.1771,                0.65889,                 1.3915,              0.0001707,              0.0001707,              0.0001707
                    138,                0.71962,                0.42273,                0.98323,                 0.8839,                0.76317,                0.84631,                0.55844,                 1.1805,                0.64012,                 1.4095,              0.0001597,              0.0001597,              0.0001597
